Число итераций = 5000, текущая ошибка = 651.2797083046288
Число итераций = 10000, текущая ошибка = 613.3423433018659
Число итераций = 15000, текущая ошибка = 609.6004714220134
Число итераций = 20000, текущая ошибка = 609.555774874201
Число итераций = 25000, текущая ошибка = 609.6857981477845
Число итераций = 30000, текущая ошибка = 609.7326469921055
Число итераций = 35000, текущая ошибка = 609.7400587134899
Число итераций = 40000, текущая ошибка = 609.7372693781612
Число итераций = 45000, текущая ошибка = 609.7336887384012
Число итераций = 50000, текущая ошибка = 609.7312282440209
Число итераций = 55000, текущая ошибка = 609.7298084685509
Число итераций = 60000, текущая ошибка = 609.7290512015802
Число итераций = 65000, текущая ошибка = 609.7286639484788
Число итераций = 70000, текущая ошибка = 609.7284707535463
Число итераций = 75000, текущая ошибка = 609.7283758509583
Число итераций = 80000, текущая ошибка = 609.7283297019483
Число итераций = 85000, текущая ошибка = 609.728307414062
Число итераций = 90000, текущая ошибка = 609.7282967014303
Число итераций = 95000, текущая ошибка = 609.7282915700898
Число итераций = 100000, текущая ошибка = 609.7282891184599
Число итераций = 105000, текущая ошибка = 609.7282879493977
Число итераций = 110000, текущая ошибка = 609.7282873925465
Число итераций = 115000, текущая ошибка = 609.7282871276776
Число итераций = 120000, текущая ошибка = 609.7282870019783
Число итераций = 125000, текущая ошибка = 609.7282869420936
Число итераций = 130000, текущая ошибка = 609.728286913546
Число итераций = 135000, текущая ошибка = 609.7282868999147
Число итераций = 140000, текущая ошибка = 609.7282868934612
Число итераций = 145000, текущая ошибка = 609.7282868904051
Число итераций = 150000, текущая ошибка = 609.7282868889537
Число итераций = 155000, текущая ошибка = 609.7282868882734
Число итераций = 160000, текущая ошибка = 609.7282868879194
Число итераций = 165000, текущая ошибка = 609.7282868877951
Число итераций = 170000, текущая ошибка = 609.7282868877584
Число итераций = 175000, текущая ошибка = 609.7282868877487
Число итераций = 180000, текущая ошибка = 609.7282868877487
Число итераций = 185000, текущая ошибка = 609.7282868877487
Число итераций = 190000, текущая ошибка = 609.7282868877487
Число итераций = 195000, текущая ошибка = 609.7282868877487
Число итераций = 200000, текущая ошибка = 609.7282868877487
Число итераций = 205000, текущая ошибка = 609.7282868877487
Число итераций = 210000, текущая ошибка = 609.7282868877487
Число итераций = 215000, текущая ошибка = 609.7282868877487
Число итераций = 220000, текущая ошибка = 609.7282868877487
Число итераций = 225000, текущая ошибка = 609.7282868877487
Число итераций = 230000, текущая ошибка = 609.7282868877487
Число итераций = 235000, текущая ошибка = 609.7282868877487
Число итераций = 240000, текущая ошибка = 609.7282868877487
Число итераций = 245000, текущая ошибка = 609.7282868877487
Число итераций = 250000, текущая ошибка = 609.7282868877487
Число итераций = 255000, текущая ошибка = 609.7282868877487
Число итераций = 260000, текущая ошибка = 609.7282868877487
Число итераций = 265000, текущая ошибка = 609.7282868877487
Число итераций = 270000, текущая ошибка = 609.7282868877487
Число итераций = 275000, текущая ошибка = 609.7282868877487
Число итераций = 280000, текущая ошибка = 609.7282868877487
Число итераций = 285000, текущая ошибка = 609.7282868877487
Число итераций = 290000, текущая ошибка = 609.7282868877487
Число итераций = 295000, текущая ошибка = 609.7282868877487
Число итераций = 300000, текущая ошибка = 609.7282868877487
Число итераций = 305000, текущая ошибка = 609.7282868877487
Число итераций = 310000, текущая ошибка = 609.7282868877487
Число итераций = 315000, текущая ошибка = 609.7282868877487
Число итераций = 320000, текущая ошибка = 609.7282868877487
Число итераций = 325000, текущая ошибка = 609.7282868877487
Число итераций = 330000, текущая ошибка = 609.7282868877487
Число итераций = 335000, текущая ошибка = 609.7282868877487
Число итераций = 340000, текущая ошибка = 609.7282868877487
Число итераций = 345000, текущая ошибка = 609.7282868877487
Число итераций = 350000, текущая ошибка = 609.7282868877487
Число итераций = 355000, текущая ошибка = 609.7282868877487
Число итераций = 360000, текущая ошибка = 609.7282868877487
Число итераций = 365000, текущая ошибка = 609.7282868877487
Число итераций = 370000, текущая ошибка = 609.7282868877487
Число итераций = 375000, текущая ошибка = 609.7282868877487
Число итераций = 380000, текущая ошибка = 609.7282868877487
Число итераций = 385000, текущая ошибка = 609.7282868877487
Число итераций = 390000, текущая ошибка = 609.7282868877487
Число итераций = 395000, текущая ошибка = 609.7282868877487
Число итераций = 400000, текущая ошибка = 609.7282868877487
Число итераций = 405000, текущая ошибка = 609.7282868877487
Число итераций = 410000, текущая ошибка = 609.7282868877487
Число итераций = 415000, текущая ошибка = 609.7282868877487
Число итераций = 420000, текущая ошибка = 609.7282868877487
Число итераций = 425000, текущая ошибка = 609.7282868877487
Число итераций = 430000, текущая ошибка = 609.7282868877487
Число итераций = 435000, текущая ошибка = 609.7282868877487
Число итераций = 440000, текущая ошибка = 609.7282868877487
Число итераций = 445000, текущая ошибка = 609.7282868877487
Число итераций = 450000, текущая ошибка = 609.7282868877487
Число итераций = 455000, текущая ошибка = 609.7282868877487
Число итераций = 460000, текущая ошибка = 609.7282868877487
Число итераций = 465000, текущая ошибка = 609.7282868877487
Число итераций = 470000, текущая ошибка = 609.7282868877487
Число итераций = 475000, текущая ошибка = 609.7282868877487
Число итераций = 480000, текущая ошибка = 609.7282868877487
Число итераций = 485000, текущая ошибка = 609.7282868877487
Число итераций = 490000, текущая ошибка = 609.7282868877487
Число итераций = 495000, текущая ошибка = 609.7282868877487
Число итераций = 500000, текущая ошибка = 609.7282868877487
Converged at iteration 499999, финальная ошибка = 609.7282868877487
